priceclose_id,    marketday_id,price_change,    ticker_id
7b4f2b66-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea5a4e-1352-11e8-b642-0ed5f89f718b
7b4f2dfa-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea621e-1352-11e8-b642-0ed5f89f718b
7b4f3084-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.90,31ea82c6-1352-11e8-b642-0ed5f89f718b
7b4f31f6-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea6476-1352-11e8-b642-0ed5f89f718b
7b4f3458-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,4.98,31ea66b0-1352-11e8-b642-0ed5f89f718b
7b4f35a2-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.86,31ea7736-1352-11e8-b642-0ed5f89f718b
7b4f36d8-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,189.80,31ea68f4-1352-11e8-b642-0ed5f89f718b
7b4f3804-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,-1.47,31ea6da4-1352-11e8-b642-0ed5f89f718b
7b4f3a0c-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.91,31ea7970-1352-11e8-b642-0ed5f89f718b
7b4f3b9c-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,1.90,31ea7e66-1352-11e8-b642-0ed5f89f718b
7b4f3e8a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,2.12,31ea8096-1352-11e8-b642-0ed5f89f718b
7b4f40ba-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea709c-1352-11e8-b642-0ed5f89f718b
7b4f42ea-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea72ea-1352-11e8-b642-0ed5f89f718b
7b4f4524-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,-1.74,31ea8b18-1352-11e8-b642-0ed5f89f718b
7b4f465a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea7524-1352-11e8-b642-0ed5f89f718b
7b4f488a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,0.00,31ea8730-1352-11e8-b642-0ed5f89f718b