company_id ,company_name 
1a5ba3e0-134f-11e8-b642-0ed5f89f718b,USE All Share Index
1a5baba6-134f-11e8-b642-0ed5f89f718b,British American Tobacco Uganda
1a5bae3a-134f-11e8-b642-0ed5f89f718b,Bank of Baroda Uganda
1a5bb074-134f-11e8-b642-0ed5f89f718b,Development Finance Company of Uganda Ltd
1a5bb2cc-134f-11e8-b642-0ed5f89f718b,East African Breweries Limited
1a5bb588-134f-11e8-b642-0ed5f89f718b,Jubilee Holdings Limited
1a5bb812-134f-11e8-b642-0ed5f89f718b,Kenya Airways
1a5bba56-134f-11e8-b642-0ed5f89f718b,New Vision Printing and Publishing Company Ltd
1a5bc078-134f-11e8-b642-0ed5f89f718b,Stanbic Bank Uganda
1a5bc2d0-134f-11e8-b642-0ed5f89f718b,Uganda Clays Limited
1a5bc51e-134f-11e8-b642-0ed5f89f718b,Equity Bank Limited
1a5bc74e-134f-11e8-b642-0ed5f89f718b,KCB Group
1a5bc988-134f-11e8-b642-0ed5f89f718b,National Insurance Corporation
1a5bcba4-134f-11e8-b642-0ed5f89f718b,Nation Media Group
1a5bd0cc-134f-11e8-b642-0ed5f89f718b,Centum Investment Company Ltd
1a5bd3c4-134f-11e8-b642-0ed5f89f718b,USE Local Company Index
1a5bd658-134f-11e8-b642-0ed5f89f718b,Umeme Limited
1a5bd8d8-134f-11e8-b642-0ed5f89f718b,Uchumi