ticker_id,coexchange_id,ticker,,,priceclose_id,    marketday_id,    price_close,    ticker_id,,,,,,
31ea5a4e-1352-11e8-b642-0ed5f89f718b,122c6c3e-1351-11e8-b642-0ed5f89f718b,ALSI,,,7b4f2b66-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"30,000.00",31ea5a4e-1352-11e8-b642-0ed5f89f718b,,,BATU,"30,000.00","30,000.00",0.00
31ea5a4e-1352-11e8-b642-0ed5f89f718b,122c6f04-1351-11e8-b642-0ed5f89f718b,BATU,,,7b4f2dfa-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,113.00,31ea621e-1352-11e8-b642-0ed5f89f718b,,,BOBU,113.00,113.00,0.00
31ea621e-1352-11e8-b642-0ed5f89f718b,122c7058-1351-11e8-b642-0ed5f89f718b,BOBU,,,7b4f3084-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"1,618.20",31ea82c6-1352-11e8-b642-0ed5f89f718b,,,CENT,"1,617.30","1,618.20",0.90
31ea6476-1352-11e8-b642-0ed5f89f718b,122c73d2-1351-11e8-b642-0ed5f89f718b,DFCU,,,7b4f31f6-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,682.00,31ea6476-1352-11e8-b642-0ed5f89f718b,,,DFCU,682.00,682.00,0.00
31ea66b0-1352-11e8-b642-0ed5f89f718b,122c7530-1351-11e8-b642-0ed5f89f718b,EABL,,,7b4f3458-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"8,954.04",31ea66b0-1352-11e8-b642-0ed5f89f718b,,,EABL,"8,949.06","8,954.04",4.98
31ea68f4-1352-11e8-b642-0ed5f89f718b,122c7666-1351-11e8-b642-0ed5f89f718b,JHL,,,7b4f35a2-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"1,546.28",31ea7736-1352-11e8-b642-0ed5f89f718b,,,EBL,"1,545.42","1,546.28",0.86
31ea6da4-1352-11e8-b642-0ed5f89f718b,122c7788-1351-11e8-b642-0ed5f89f718b,KA,,,7b4f36d8-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"18,159.80",31ea68f4-1352-11e8-b642-0ed5f89f718b,,,JHL,"17,970.00","18,159.80",189.80
31ea709c-1352-11e8-b642-0ed5f89f718b,122c78b4-1351-11e8-b642-0ed5f89f718b,NVL,,,7b4f3804-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,577.16,31ea6da4-1352-11e8-b642-0ed5f89f718b,,,KA,578.63,577.16,-1.47
31ea72ea-1352-11e8-b642-0ed5f89f718b,122c79cc-1351-11e8-b642-0ed5f89f718b,SBU,,,7b4f3a0c-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"1,636.18",31ea7970-1352-11e8-b642-0ed5f89f718b,,,KCB,"1,635.27","1,636.18",0.91
31ea7524-1352-11e8-b642-0ed5f89f718b,122c7b02-1351-11e8-b642-0ed5f89f718b,UCL,,,7b4f3b9c-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,14.90,31ea7e66-1352-11e8-b642-0ed5f89f718b,,,NIC,13.00,14.90,1.90
31ea7736-1352-11e8-b642-0ed5f89f718b,122c7eea-1351-11e8-b642-0ed5f89f718b,EBL,,,7b4f3e8a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,"3,811.76",31ea8096-1352-11e8-b642-0ed5f89f718b,,,NMG,"3,809.64","3,811.76",2.12
31ea7970-1352-11e8-b642-0ed5f89f718b,122c8052-1351-11e8-b642-0ed5f89f718b,KCB,,,7b4f40ba-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,510.00,31ea709c-1352-11e8-b642-0ed5f89f718b,,,NVL,510.00,510.00,0.00
31ea7e66-1352-11e8-b642-0ed5f89f718b,122c817e-1351-11e8-b642-0ed5f89f718b,NIC,,,7b4f42ea-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,29.00,31ea72ea-1352-11e8-b642-0ed5f89f718b,,,SBU,29.00,29.00,0.00
31ea8096-1352-11e8-b642-0ed5f89f718b,122c82aa-1351-11e8-b642-0ed5f89f718b,NMG,,,7b4f4524-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,115.07,31ea8b18-1352-11e8-b642-0ed5f89f718b,,,UCHM,116.81,115.07,-1.74
31ea82c6-1352-11e8-b642-0ed5f89f718b,122c83d6-1351-11e8-b642-0ed5f89f718b,CENT,,,7b4f465a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,29.00,31ea7524-1352-11e8-b642-0ed5f89f718b,,,UCL,29.00,29.00,0.00
31ea84f6-1352-11e8-b642-0ed5f89f718b,122c8502-1351-11e8-b642-0ed5f89f718b,USE LCI,,,7b4f488a-1356-11e8-b642-0ed5f89f718b,f9455dd2-1352-11e8-b642-0ed5f89f718b,410.00,31ea8730-1352-11e8-b642-0ed5f89f718b,,,UMEM,410.00,410.00,0.00
31ea8730-1352-11e8-b642-0ed5f89f718b,122c8624-1351-11e8-b642-0ed5f89f718b,UMEM,,,,,,,,,,,,
31ea8b18-1352-11e8-b642-0ed5f89f718b,122c898a-1351-11e8-b642-0ed5f89f718b,UCHM,,,,,,,,,,,,